experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper,regularization_config
xgboost_out_domain_Mexico_Pemba_size1.0,out_domain,Mexico,Pemba,0.4499999999999999,0.25,"[0.3870833333333334, 0.5091666666666667]","[0.19083333333333333, 0.33875]",1222,60,634.4126851558685,629.4428281784058,4.302759170532227,0.0193171501159667,8bf090bd8205910c9f35cae0d95f1c85364867e7105ad486ada836de,0,,xgboost,1.0,0.3870833333333334,0.5091666666666667,0.1908333333333333,0.33875,conservative
xgboost_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.8648648648648649,0.4781144781144781,"[0.7705407111657112, 0.8352759009009009]","[0.43367003367003365, 0.5095117845117846]",1186,297,643.8408000469208,638.2039449214935,4.938162088394165,0.0628342628479003,8038754a461d57ef32628c20d1a7f5d8451ea4853f7eb1865e07eecf,0,,xgboost,1.0,0.7705407111657112,0.8352759009009009,0.4336700336700336,0.5095117845117846,conservative
xgboost_out_domain_AP_Mexico_size1.0,out_domain,AP,Mexico,0.2810457516339869,0.088235294117647,"[0.24076797385620918, 0.2843137254901962]","[0.07009803921568628, 0.10816993464052288]",1186,306,650.7583158016205,645.5466129779816,4.4941771030426025,0.0780611038208007,81470650a3003d4e505bf73105960c9896c156b88ccd1b4473fb3099,0,,xgboost,1.0,0.2407679738562091,0.2843137254901962,0.0700980392156862,0.1081699346405228,conservative
insilico_training_size_Mexico_Mexico_size1.0,training_size,Mexico,Mexico,0.7409836065573772,0.3562091503267974,"[0.6655737704918032, 0.7457749137187231]","[0.2937908496732026, 0.36527777777777776]",1222,306,52.77142405509949,,0.0025281906127929,52.27823090553284,81470650a3003d4e505bf73105960c9896c156b88ccd1b4473fb3099,0,,insilico,1.0,0.6655737704918032,0.7457749137187231,0.2937908496732026,0.3652777777777777,conservative
xgboost_in_domain_Pemba_Pemba_size1.0,in_domain,Pemba,Pemba,0.9152542372881356,0.6166666666666667,"[0.7843439509059029, 0.9277207850133808]","[0.5779166666666666, 0.7554166666666667]",237,60,0.202219009399414,,0.1315269470214843,0.0374209880828857,a7d65bfb895c272c6a70897969864905640d5780556fec4a1f7a34d0,0,,xgboost,1.0,0.7843439509059029,0.9277207850133808,0.5779166666666666,0.7554166666666667,fixed_conservative
xgboost_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.8594771241830066,0.4411764705882353,"[0.7790838958534234, 0.8445261437908497]","[0.40236928104575165, 0.4766339869281046]",1222,306,0.8400242328643799,,0.7599191665649414,0.0537919998168945,ea1f4913cf5b8b4f7b1310ca320619fd1e67f82fbf44e77429a037f6,0,,xgboost,1.0,0.7790838958534234,0.8445261437908497,0.4023692810457516,0.4766339869281046,fixed_conservative
xgboost_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.8783783783783784,0.4713804713804714,"[0.7915182227682227, 0.855108801983802]","[0.4272727272727273, 0.5050505050505051]",1186,297,0.865056037902832,,0.7828619480133057,0.050145149230957,260ba34d61e350c2b130456b3e1fce028f6ac2909f52a58447c38789,0,,xgboost,1.0,0.7915182227682227,0.855108801983802,0.4272727272727273,0.5050505050505051,fixed_conservative
xgboost_out_domain_Pemba_AP_size1.0,out_domain,Pemba,AP,0.4560810810810811,0.2087542087542087,"[0.4152163527163527, 0.4722026003276004]","[0.17996632996632997, 0.25286195286195284]",237,297,0.1373569965362548,,0.1112151145935058,0.0196919441223144,ea1f4913cf5b8b4f7b1310ca320619fd1e67f82fbf44e77429a037f6,0,,xgboost,1.0,0.4152163527163527,0.4722026003276004,0.1799663299663299,0.2528619528619528,fixed_conservative
xgboost_training_size_Mexico_Mexico_size0.25,training_size,Mexico,Mexico,0.8529411764705883,0.349673202614379,"[0.7658496732026143, 0.8547385620915032]","[0.31699346405228757, 0.38562091503267976]",305,306,0.2752413749694824,,0.1956181526184082,0.0226309299468994,ea1f4913cf5b8b4f7b1310ca320619fd1e67f82fbf44e77429a037f6,0,,xgboost,0.25,0.7658496732026143,0.8547385620915032,0.3169934640522875,0.3856209150326797,fixed_conservative
xgboost_training_size_Mexico_Mexico_size0.5,training_size,Mexico,Mexico,0.826797385620915,0.3594771241830065,"[0.7360294117647059, 0.805718954248366]","[0.31666666666666665, 0.37287581699346406]",611,306,0.44209885597229,,0.3973379135131836,0.0303180217742919,ea1f4913cf5b8b4f7b1310ca320619fd1e67f82fbf44e77429a037f6,0,,xgboost,0.5,0.7360294117647059,0.805718954248366,0.3166666666666666,0.372875816993464,fixed_conservative
