experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,additional_metrics,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_in_domain_Bohol_Bohol_size0.7,in_domain,Bohol,Bohol,0.7450199203187251,0.3665338645418327,"[0.6642430278884462, 0.7744410358565736]","[0.31324701195219123, 0.4038844621513944]",1001,251,351.0906410217285,,240.05759525299072,110.91986203193665,6f8332f9bf361da7ea07b88bddc18e5fa4b248b2e57cf4a0171cda40,0,,,ensemble,1.0,0.6642430278884462,0.7744410358565736,0.31324701195219123,0.4038844621513944
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_out_domain_Mexico_Pemba_size0.7,out_domain,Mexico,Pemba,0.3500000000000001,0.2,"[0.24541666666666667, 0.42125]","[0.11666666666666667, 0.3045833333333333]",1222,60,336.4869649410248,,292.1675729751587,43.79709482192993,b3f1bcae0f0caf413b62964fc18c056cab14f035c9567367874dc476,0,,,ensemble,1.0,0.24541666666666667,0.42125,0.11666666666666667,0.3045833333333333
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_in_domain_AP_AP_size0.7,in_domain,AP,AP,0.8074324324324325,0.4377104377104377,"[0.7371297433797435, 0.8106896669396669]","[0.39057239057239057, 0.4833333333333333]",1186,297,429.81627798080444,,300.26392698287964,129.20891404151917,3f55b59f99fdd4eb3217041ad3458592b602d111446eb9f85e017526,0,,,ensemble,1.0,0.7371297433797435,0.8106896669396669,0.39057239057239057,0.4833333333333333
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_in_domain_Mexico_Mexico_size0.7,in_domain,Mexico,Mexico,0.8098360655737704,0.3954248366013072,"[0.7450717882781528, 0.8113508341933264]","[0.3324346405228758, 0.442156862745098]",1222,306,430.23911595344543,,300.2448818683624,129.9666302204132,98bbd54db6dfdaf38df2cbb6cbe530463573b40f062c3907dd9b5e48,0,,,ensemble,1.0,0.7450717882781528,0.8113508341933264,0.3324346405228758,0.442156862745098
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_out_domain_Mexico_AP_size0.7,out_domain,Mexico,AP,0.49158249158249157,0.25925925925925924,"[0.4140572390572392, 0.5255892255892255]","[0.2218855218855219, 0.29385521885521887]",1222,297,429.6149230003357,,293.41574811935425,136.1479618549347,a556656f16c83db04ecf858f1d6b2eba6fea4f3925156fc21d96b5cc,0,,,ensemble,1.0,0.4140572390572392,0.5255892255892255,0.2218855218855219,0.29385521885521887
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_out_domain_Mexico_UP_size0.7,out_domain,Mexico,UP,0.5053380782918149,0.24199288256227758,"[0.4425266903914591, 0.5322064056939502]","[0.19893238434163704, 0.28603202846975084]",1222,281,414.01362681388855,,292.51261496543884,121.45081806182861,c46d67863b5e144ba7aac4248d4179354a428b096daafe3e75122f1f,0,,,ensemble,1.0,0.4425266903914591,0.5322064056939502,0.19893238434163704,0.28603202846975084
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_in_domain_Dar_Dar_size0.7,in_domain,Dar,Dar,0.826625386996904,0.404320987654321,"[0.7381172839506174, 0.8422402343003478]","[0.34675925925925927, 0.4607253086419753]",1293,324,468.90111112594604,,327.6160891056061,141.1393449306488,ec14f4b1cf830c3f0cc97fc3a00694825a0dc5ab885a03a28348e77a,0,,,ensemble,1.0,0.7381172839506174,0.8422402343003478,0.34675925925925927,0.4607253086419753
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_out_domain_Mexico_Bohol_size0.7,out_domain,Mexico,Bohol,0.4701195219123505,0.24701195219123506,"[0.39432270916334666, 0.5139442231075697]","[0.19511952191235063, 0.29302788844621513]",1222,251,417.4654049873352,,302.29537296295166,115.05033087730408,1e40a3b9c626ed41fb96091eb884b27356da130bf5a628cee5c98071,0,,,ensemble,1.0,0.39432270916334666,0.5139442231075697,0.19511952191235063,0.29302788844621513
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_out_domain_Mexico_Dar_size0.7,out_domain,Mexico,Dar,0.541795665634675,0.26851851851851855,"[0.4955882352941177, 0.5737214768948514]","[0.22415123456790123, 0.30416666666666664]",1222,324,427.2465968132019,,298.87540102005005,127.84506797790527,5091e3bb508038ea034f28b20fb27ea6765cd5c8e1453388c01ef716,0,,,ensemble,1.0,0.4955882352941177,0.5737214768948514,0.22415123456790123,0.30416666666666664
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_out_domain_AP_Mexico_size0.7,out_domain,AP,Mexico,0.6470588235294118,0.24509803921568626,"[0.575735294117647, 0.6776960784313726]","[0.19281045751633988, 0.28137254901960784]",1186,306,441.024854183197,,305.6167137622833,135.34521985054016,6420d3dec44dd95ef70de3fa5940b70c29fad6580dfb68a082df0e5e,0,,,ensemble,1.0,0.575735294117647,0.6776960784313726,0.19281045751633988,0.28137254901960784
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_out_domain_AP_Pemba_size0.7,out_domain,AP,Pemba,0.34999999999999987,0.25,"[0.22875000000000004, 0.43791666666666657]","[0.16208333333333333, 0.33791666666666664]",1186,60,333.2164578437805,,301.36401891708374,31.65613293647766,7d4664e5291cf8ac5c74332438f67aef4aad7eee0db2862f7f8a0c11,0,,,ensemble,1.0,0.22875000000000004,0.43791666666666657,0.16208333333333333,0.33791666666666664
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_out_domain_UP_Pemba_size0.7,out_domain,UP,Pemba,0.5833333333333333,0.43333333333333335,"[0.46208333333333335, 0.6379166666666666]","[0.34541666666666665, 0.5333333333333333]",1124,60,270.6331353187561,,241.64510321617126,28.9523708820343,b3f1bcae0f0caf413b62964fc18c056cab14f035c9567367874dc476,0,,,ensemble,1.0,0.46208333333333335,0.6379166666666666,0.34541666666666665,0.5333333333333333
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_out_domain_AP_UP_size0.7,out_domain,AP,UP,0.7153024911032029,0.35587188612099646,"[0.6198398576512456, 0.7376334519572953]","[0.2918149466192171, 0.40604982206405693]",1186,281,407.49292612075806,,302.8062860965729,104.67065095901489,3fe6da36d08bc35ba5821d99f0e3b2d11b799202ca80641eb46ac4bd,0,,,ensemble,1.0,0.6198398576512456,0.7376334519572953,0.2918149466192171,0.40604982206405693
ensemble_soft_performance_size5_xgb_cnb_ins_rf_lr_out_domain_AP_Dar_size0.7,out_domain,AP,Dar,0.537037037037037,0.21604938271604937,"[0.46851851851851856, 0.5695987654320988]","[0.1742283950617284, 0.2508487654320988]",1186,324,404.6484799385071,,297.3554711341858,107.21118211746216,d4e4d13974f27f135f95925e335ff32bdc43bf4ac5cce5e6ae7e48a7,0,,,ensemble,1.0,0.46851851851851856,0.5695987654320988,0.1742283950617284,0.2508487654320988
