experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,additional_metrics,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
ensemble_soft_performance_size3_xgb_cnb_ins_out_domain_AP_UP_size0.7,out_domain,AP,UP,0.7153024911032029,0.3487544483985765,"[0.6269572953736655, 0.7259786476868328]","[0.2837188612099644, 0.3999110320284697]",1186,281,404.0085999965668,,277.99365401268005,125.92328596115112,0f366e1fa2b34c4b0847b41f024133a8be32e9983633a7df36093d50,0,,,ensemble,1.0,0.6269572953736655,0.7259786476868328,0.2837188612099644,0.3999110320284697
ensemble_soft_performance_size3_xgb_cnb_ins_out_domain_Mexico_UP_size0.7,out_domain,Mexico,UP,0.43060498220640564,0.18505338078291814,"[0.3736654804270462, 0.47980427046263346]","[0.1494661921708185, 0.21841637010676154]",1222,281,406.06349992752075,,289.4696419239044,116.49367904663086,d5336dbd391a6b4d1ed056e620b19c67b69b70f6a421998750dcb343,0,,,ensemble,1.0,0.3736654804270462,0.47980427046263346,0.1494661921708185,0.21841637010676154
ensemble_soft_performance_size5_xgb_rf_ins_cnb_lr_out_domain_Mexico_AP_size0.7,out_domain,Mexico,AP,0.49158249158249157,0.25925925925925924,"[0.4140572390572392, 0.5255892255892255]","[0.2218855218855219, 0.29385521885521887]",1222,297,405.69146490097046,,280.25595593452454,125.42110109329224,c058720880e7d583fe40c5d5d7e0975849c477d42f53df9cddd65472,0,,,ensemble,1.0,0.4140572390572392,0.5255892255892255,0.2218855218855219,0.29385521885521887
ensemble_soft_performance_size5_xgb_rf_ins_cnb_lr_in_domain_Mexico_Mexico_size0.7,in_domain,Mexico,Mexico,0.8098360655737704,0.3954248366013072,"[0.7450717882781528, 0.8113508341933264]","[0.3324346405228758, 0.442156862745098]",1222,306,411.34828901290894,,278.7461886405945,132.51061034202576,762dbff61b4addb00572b46c68efb51e1269786b4c7af2e5d27991ab,0,,,ensemble,1.0,0.7450717882781528,0.8113508341933264,0.3324346405228758,0.442156862745098
ensemble_soft_performance_size3_xgb_cnb_ins_in_domain_AP_AP_size0.7,in_domain,AP,AP,0.7905405405405406,0.41414141414141414,"[0.7247528778778779, 0.804878458003458]","[0.377946127946128, 0.468013468013468]",1186,297,414.841322183609,,278.9816629886627,135.75231003761292,6eb17cd0fd76b8a44bdce33cb78cfeb395ea3cd9afb5fe9157243f2a,0,,,ensemble,1.0,0.7247528778778779,0.804878458003458,0.377946127946128,0.468013468013468
ensemble_soft_performance_size5_xgb_rf_ins_cnb_lr_out_domain_AP_Mexico_size0.7,out_domain,AP,Mexico,0.6470588235294118,0.24509803921568626,"[0.575735294117647, 0.6776960784313726]","[0.19281045751633988, 0.28137254901960784]",1186,306,420.1110100746155,,280.9635212421417,139.1279399394989,83ebb6500a40686bae94ef122fce447ac220e1e75e7093c1f1307f40,0,,,ensemble,1.0,0.575735294117647,0.6776960784313726,0.19281045751633988,0.28137254901960784
ensemble_soft_performance_size5_xgb_rf_ins_cnb_lr_in_domain_AP_AP_size0.7,in_domain,AP,AP,0.8074324324324325,0.4377104377104377,"[0.7371297433797435, 0.8106896669396669]","[0.39057239057239057, 0.4833333333333333]",1186,297,426.41985416412354,,291.0439188480377,135.28489112854004,76aa1b134219d6d9be818e1bfdd6fa25bdfde6344335dae0d45b7ac7,0,,,ensemble,1.0,0.7371297433797435,0.8106896669396669,0.39057239057239057,0.4833333333333333
ensemble_soft_performance_size3_xgb_cnb_ins_out_domain_Mexico_AP_size0.7,out_domain,Mexico,AP,0.41414141414141414,0.21212121212121213,"[0.3515993265993266, 0.4579124579124579]","[0.17474747474747476, 0.2534511784511785]",1222,297,427.43487191200256,,300.03192806243896,127.30216383934021,32b7848ae16d54c374005792eea3cb40fc704701b8b086352f1ca6a8,0,,,ensemble,1.0,0.3515993265993266,0.4579124579124579,0.17474747474747476,0.2534511784511785
ensemble_soft_performance_size3_xgb_cnb_ins_out_domain_AP_Mexico_size0.7,out_domain,AP,Mexico,0.6470588235294118,0.23529411764705882,"[0.5808006535947712, 0.6693627450980393]","[0.19665032679738564, 0.2875816993464052]",1186,306,429.26489424705505,,289.83590483665466,139.32418012619019,baea9e64ded48ab102b01add0d114ffcd86a1174792626cf002830a0,0,,,ensemble,1.0,0.5808006535947712,0.6693627450980393,0.19665032679738564,0.2875816993464052
ensemble_soft_performance_size5_xgb_rf_ins_cnb_lr_out_domain_AP_UP_size0.7,out_domain,AP,UP,0.7153024911032029,0.35587188612099646,"[0.6198398576512456, 0.7376334519572953]","[0.2918149466192171, 0.40604982206405693]",1186,281,432.13426876068115,,300.3904118537903,131.7232551574707,323e65a01e34e904be909c3217dbca6b4050b2cfbbb2c8a3b30c2814,0,,,ensemble,1.0,0.6198398576512456,0.7376334519572953,0.2918149466192171,0.40604982206405693
ensemble_soft_performance_size3_xgb_cnb_ins_in_domain_Mexico_Mexico_size0.7,in_domain,Mexico,Mexico,0.7745098039215687,0.3464052287581699,"[0.706454248366013, 0.7855392156862745]","[0.29616013071895425, 0.3981209150326797]",1222,306,434.2699861526489,,300.30487298965454,133.76933312416077,6659385c99a15e5c30f96bf6851583f3d6ce6c528ee246eb13676dce,0,,,ensemble,1.0,0.706454248366013,0.7855392156862745,0.29616013071895425,0.3981209150326797
