label,model,train_site,test_site,random_seed,csmf_accuracy,cod_accuracy,n_train,n_test,execution_time_seconds
va34,categorical_nb,Dar,Pemba,8,0.1333333333333334,0.0166666666666666,1293,60,0.0913710594177246
va34,logistic_regression,Dar,Mexico,8,0.3300653594771242,0.0457516339869281,1293,306,0.998560905456543
va34,xgboost,Dar,Pemba,8,0.1,0.1,1293,60,0.8602800369262695
va34,random_forest,Dar,UP,8,0.1316725978647684,0.0640569395017793,1293,281,0.1289169788360595
va34,logistic_regression,Dar,Pemba,8,0.1333333333333334,0.0,1293,60,0.9878628253936768
va34,categorical_nb,Dar,UP,8,0.1921708185053381,0.0569395017793594,1293,281,0.1056659221649169
va34,xgboost,Dar,UP,8,0.0821428571428569,0.0782918149466192,1293,281,0.9293382167816162
va34,logistic_regression,Dar,UP,8,0.2669039145907471,0.0391459074733096,1293,281,0.983588933944702
va34,xgboost,Mexico,AP,8,0.7239057239057238,0.3367003367003367,1222,297,0.843315839767456
va34,random_forest,Mexico,AP,8,0.6013513513513514,0.2727272727272727,1222,297,0.1404409408569336
va34,categorical_nb,Mexico,AP,8,0.3804713804713805,0.1414141414141414,1222,297,0.0945391654968261
va34,logistic_regression,Mexico,AP,8,0.5622895622895623,0.2053872053872054,1222,297,0.859199047088623
va34,xgboost,Mexico,Bohol,8,0.4900398406374502,0.2111553784860557,1222,251,0.7831161022186279
va34,random_forest,Mexico,Bohol,8,0.6254980079681275,0.2589641434262948,1222,251,0.1931397914886474
va34,logistic_regression,Mexico,Bohol,8,0.3745019920318726,0.1155378486055776,1222,251,0.8453137874603271
va34,categorical_nb,Mexico,Bohol,8,0.164,0.0637450199203187,1222,251,0.0907189846038818
va34,xgboost,Mexico,Dar,8,0.5802469135802468,0.2746913580246913,1222,324,0.7489438056945801
va34,insilico,Dar,Pemba,8,0.35,0.25,1293,60,15.434566020965576
va34,random_forest,Mexico,Dar,8,0.6635802469135803,0.3395061728395062,1222,324,0.184481143951416
va34,logistic_regression,Mexico,Dar,8,0.3560371517027862,0.1666666666666666,1222,324,0.845322847366333
va34,categorical_nb,Mexico,Dar,8,0.2445820433436532,0.1080246913580246,1222,324,0.1007521152496337
va34,xgboost,Mexico,Pemba,8,0.35,0.2166666666666666,1222,60,0.7709019184112549
va34,insilico,Mexico,Pemba,8,0.3500000000000001,0.2333333333333333,1222,60,15.92152190208435
va34,random_forest,Mexico,Pemba,8,0.3500000000000002,0.2166666666666666,1222,60,0.1661269664764404
va34,logistic_regression,Mexico,Pemba,8,0.1833333333333332,0.0833333333333333,1222,60,0.8484618663787842
va34,categorical_nb,Mexico,Pemba,8,0.3500000000000002,0.2666666666666666,1222,60,0.077470064163208
va34,xgboost,Mexico,UP,8,0.7010676156583631,0.4199288256227758,1222,281,0.7891719341278076
va34,insilico,Dar,Bohol,8,0.545816733067729,0.2430278884462151,1293,251,45.952353954315186
va34,random_forest,Mexico,UP,8,0.6192170818505338,0.3416370106761566,1222,281,0.1515121459960937
va34,logistic_regression,Mexico,UP,8,0.6868327402135231,0.2704626334519573,1222,281,0.8335380554199219
va34,categorical_nb,Mexico,UP,8,0.4163701067615658,0.1779359430604982,1222,281,0.0922379493713378
va34,insilico,Dar,UP,8,0.475,0.2135231316725978,1293,281,50.04625988006592
va34,insilico,Mexico,AP,8,0.3838383838383838,0.1649831649831649,1222,297,52.103168964385986
va34,insilico,Dar,Mexico,8,0.3692810457516341,0.1601307189542483,1293,306,54.56746292114258
va34,insilico,Mexico,Bohol,8,0.4342629482071714,0.1832669322709163,1222,251,52.412559032440186
va34,insilico,Mexico,Dar,8,0.5432098765432098,0.2808641975308642,1222,324,54.29048299789429
va34,insilico,Dar,AP,8,0.6148648648648649,0.2289562289562289,1293,297,63.88763403892517
va34,insilico,Mexico,UP,8,0.4982206405693951,0.2633451957295373,1222,281,44.65769004821777
va34,categorical_nb,Pemba,AP,8,0.2567567567567567,0.0707070707070707,237,297,0.1401469707489013
va34,logistic_regression,Pemba,AP,8,0.2533783783783783,0.0942760942760942,237,297,0.1506187915802002
va34,xgboost,Pemba,AP,8,0.4966216216216217,0.2424242424242424,237,297,0.1583878993988037
va34,xgboost,Pemba,Bohol,8,0.2279999999999999,0.0677290836653386,237,251,0.165640115737915
va34,random_forest,Pemba,AP,8,0.4358108108108107,0.2188552188552188,237,297,0.1808187961578369
va34,random_forest,Pemba,Bohol,8,0.172,0.047808764940239,237,251,0.1803462505340576
va34,categorical_nb,Pemba,Bohol,8,0.1035856573705179,0.0438247011952191,237,251,0.0790948867797851
va34,logistic_regression,Pemba,Bohol,8,0.1593625498007967,0.0358565737051792,237,251,0.1147370338439941
va34,categorical_nb,Pemba,Dar,8,0.1640866873065016,0.0401234567901234,237,324,0.0571069717407226
va34,logistic_regression,Pemba,Dar,8,0.198142414860681,0.037037037037037,237,324,0.1247789859771728
va34,xgboost,Pemba,Dar,8,0.1671826625386997,0.0432098765432098,237,324,0.1593749523162841
va34,random_forest,Pemba,Dar,8,0.1795665634674924,0.0308641975308641,237,324,0.1387379169464111
va34,categorical_nb,Pemba,Mexico,8,0.0980392156862746,0.0163398692810457,237,306,0.0487561225891113
va34,xgboost,Pemba,Mexico,8,0.369281045751634,0.1241830065359477,237,306,0.1266138553619384
va34,logistic_regression,Pemba,Mexico,8,0.2124183006535949,0.0555555555555555,237,306,0.1110889911651611
va34,random_forest,Pemba,Mexico,8,0.3431372549019609,0.1339869281045751,237,306,0.1770679950714111
va34,xgboost,Pemba,UP,8,0.4306049822064057,0.2491103202846975,237,281,0.2032017707824707
va34,logistic_regression,Pemba,UP,8,0.1992882562277578,0.0498220640569395,237,281,0.1246190071105957
va34,categorical_nb,Pemba,UP,8,0.1779359430604982,0.0427046263345195,237,281,0.0521941184997558
va34,random_forest,Pemba,UP,8,0.3785714285714285,0.2455516014234875,237,281,0.2231171131134033
va34,random_forest,UP,AP,8,0.581081081081081,0.265993265993266,1124,297,0.1905798912048339
va34,xgboost,UP,AP,8,0.6790540540540541,0.3232323232323232,1124,297,0.6789829730987549
va34,categorical_nb,UP,AP,8,0.6756756756756757,0.2491582491582491,1124,297,0.1542351245880127
va34,logistic_regression,UP,AP,8,0.7466216216216216,0.2491582491582491,1124,297,0.7824220657348633
va34,xgboost,UP,Bohol,8,0.1792828685258964,0.0717131474103585,1124,251,0.6705069541931152
va34,random_forest,UP,Bohol,8,0.2948207171314742,0.1155378486055776,1124,251,0.1642632484436035
va34,logistic_regression,UP,Bohol,8,0.4541832669322709,0.1115537848605577,1124,251,0.7783451080322266
va34,categorical_nb,UP,Bohol,8,0.4900398406374502,0.2191235059760956,1124,251,0.0878069400787353
va34,xgboost,UP,Dar,8,0.1975308641975309,0.0833333333333333,1124,324,0.6556737422943115
va34,insilico,Pemba,Bohol,8,0.2400000000000001,0.1195219123505976,237,251,28.91633415222168
va34,random_forest,UP,Dar,8,0.2253086419753087,0.0925925925925925,1124,324,0.1819391250610351
va34,logistic_regression,UP,Dar,8,0.2222222222222223,0.0586419753086419,1124,324,0.7804601192474365
va34,categorical_nb,UP,Dar,8,0.3796296296296297,0.095679012345679,1124,324,0.09181809425354
va34,xgboost,UP,Mexico,8,0.6928104575163399,0.2647058823529412,1124,306,0.6740901470184326
va34,insilico,Pemba,AP,8,0.391891891891892,0.1885521885521885,237,297,34.77587103843689
va34,random_forest,UP,Mexico,8,0.6176470588235294,0.261437908496732,1124,306,0.1673519611358642
va34,logistic_regression,UP,Mexico,8,0.6830065359477124,0.2124183006535947,1124,306,0.7769680023193359
va34,insilico,Pemba,Dar,8,0.3374613003095974,0.1635802469135802,237,324,35.64975833892822
va34,categorical_nb,UP,Mexico,8,0.6339869281045751,0.1568627450980392,1124,306,0.0950450897216796
va34,xgboost,UP,Pemba,8,0.4999999999999999,0.3,1124,60,0.6359329223632812
va34,random_forest,UP,Pemba,8,0.4333333333333333,0.25,1124,60,0.1285510063171386
va34,insilico,Pemba,Mexico,8,0.3016393442622951,0.1241830065359477,237,306,36.52144265174866
va34,categorical_nb,UP,Pemba,8,0.2833333333333334,0.1333333333333333,1124,60,0.0859792232513427
va34,logistic_regression,UP,Pemba,8,0.5333333333333332,0.3166666666666666,1124,60,0.7787039279937744
va34,insilico,Pemba,UP,8,0.3274021352313166,0.192170818505338,237,281,38.57223606109619
va34,insilico,UP,Bohol,8,0.4661354581673307,0.1872509960159362,1124,251,42.58898305892944
